0,1,2
2,2,2
3,3,2
4,3,2
5,2,2
6,0,0
7,3,3
8,3,1
9,1,1
10,3,3
11,3,3
12,1,3
13,1,3
14,1,1
15,1,2
16,1,1
17,1,2
18,2,1
19,1,3
20,0,3
21,2,1
22,1,1
23,2,2
24,3,2
25,3,2
26,0,0
27,1,2
28,2,1
29,0,0
30,1,2
31,1,3
32,1,2
33,1,2
34,0,0
35,2,1
36,1,3
37,0,0
38,2,1
39,0,0
40,1,2
41,3,2
42,2,3
43,3,1
44,3,2
45,1,1
46,1,1
47,0,0
48,1,1
49,1,1
50,1,2
51,2,3
52,0,0
53,2,2
54,1,0
55,1,1
56,1,3
57,2,1
58,1,2
59,2,3
60,0,0
61,3,1
62,3,2
63,0,0
64,1,3
65,0,0
66,1,2
67,0,0
68,0,0
69,3,2
70,0,0
71,1,2
72,2,2
73,1,2
74,3,1
75,2,3
76,1,1
77,0,0
78,1,2
79,1,2
80,1,3
81,0,0
82,1,3
83,2,3
84,2,2
85,1,0
86,1,3
87,1,1
88,1,3
89,2,3
90,1,1
91,2,2
92,1,2
93,0,0
94,0,0
95,0,0
96,1,3
97,1,1
98,0,0
99,1,1
100,2,1
101,0,0
102,0,0
103,1,2
104,1,3
105,1,2
106,0,0
107,1,2
108,1,2
109,3,3
110,1,1
111,2,1
112,0,0
113,1,2
114,0,0
115,3,1
116,1,1
117,2,3
118,1,2
119,1,2
120,1,2
121,2,3
122,1,2
123,3,1
124,1,2
125,3,2
126,0,0
127,0,0
128,0,0
129,3,1
130,0,0
131,1,1
132,0,0
133,0,0
134,0,0
135,2,2
136,1,3
137,1,2
138,1,2
139,1,1
140,1,2
141,0,0
142,1,1
143,3,1
144,1,2
145,1,1
146,0,0
147,2,3
148,3,2
149,3,3
150,2,2
151,2,2
152,3,1
153,1,3
154,1,2
155,1,1
156,0,0
157,1,1
158,1,2
159,0,0
160,1,1
161,1,3
162,1,1
163,1,3
164,1,2
165,0,0
166,0,0
167,0,0
168,1,1
169,0,0
170,1,1
171,1,3
172,0,0
173,0,0
174,3,1
175,2,1
176,3,3
177,1,2
178,0,0
179,0,0
180,2,2
181,1,1
182,1,3
183,3,2
184,1,1
185,1,3
186,1,1
187,0,0
188,0,0
189,2,1
190,2,2
191,1,1
192,0,0
193,0,0
194,0,0
195,1,3
196,3,1
197,0,0
198,2,2
199,0,0
200,1,2
201,0,0
202,1,3
203,1,1
204,0,0
205,1,3
206,0,0
207,1,1
208,2,2
209,1,2
210,0,0
211,3,2
212,2,1
213,0,0
214,1,2
215,1,3
216,1,1
217,0,0
218,0,0
219,0,0
220,1,1
221,1,3
222,1,3
223,1,1
224,0,0
225,3,2
226,1,3
227,1,2
228,1,1
229,0,0
230,3,2
231,3,2
232,3,1
233,2,2
234,3,2
235,1,1
236,0,0
237,2,3
238,1,2
239,1,1
240,3,2
241,3,1
242,1,1
243,1,1
244,1,3
245,0,0
246,2,3
247,0,0
248,1,2
249,1,2
250,2,2
251,2,2
252,0,0
253,2,3
254,1,2
255,1,1
256,0,0
257,1,2
258,0,0
259,3,1
260,0,0
261,1,1
262,1,1
263,2,3
264,1,1
265,0,0
266,0,0
267,1,3
268,1,3
269,1,2
270,0,0
271,1,1
272,2,2
273,2,3
274,0,0
275,1,1
276,1,2
277,1,2
278,1,3
279,1,3
280,0,0
281,2,3
282,1,2
283,1,1
284,0,0
285,1,3
286,0,0
287,1,2
288,0,0
289,1,1
290,2,2
291,0,0
292,0,0
293,3,2
294,2,2
295,2,3
296,1,1
297,0,0
298,1,1
299,1,2
